customerID,gender,age,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,has_dependents,has_partner,num_support_tickets,is_active_member,churn
C100280,Male,65,41,37.96,1535.93,one year,Fiber,Bank transfer,1,1,1,0,1
C100281,Male,66,8,53.48,414.89,month-to-month,Fiber,Electronic check,1,1,1,1,1
C100282,Female,73,22,47.05,1007.06,one year,Fiber,Electronic check,1,1,1,1,0
C100283,Male,68,17,34.77,575.27,month-to-month,DSL,Electronic check,1,0,0,1,0
C100284,Male,84,30,23.47,713.05,one year,DSL,Electronic check,0,1,1,0,0
C100285,Female,56,35,23.51,809.24,one year,DSL,Bank transfer,0,1,1,1,0
C100286,Male,37,26,48.54,1304.83,month-to-month,Fiber,Bank transfer,1,1,1,0,0
C100287,Female,75,10,27.17,315.21,month-to-month,None,Electronic check,1,1,2,0,0
C100288,Female,35,4,31.41,6.72,month-to-month,DSL,Electronic check,0,1,2,0,1
C100289,Male,37,4,42.52,98.42,month-to-month,Fiber,Bank transfer,0,1,2,0,0
C100290,Female,73,8,33.22,145.54,month-to-month,DSL,Bank transfer,1,1,2,1,0
C100291,Male,77,9,15.0,121.31,one year,None,Credit card,0,1,0,1,0
C100292,Female,40,34,25.42,847.58,month-to-month,None,Credit card,0,1,2,1,0
C100293,Male,66,10,52.69,534.49,month-to-month,Fiber,Credit card,1,0,2,0,1
C100294,Female,79,2,36.2,114.53,month-to-month,DSL,Credit card,0,1,2,1,0
C100295,Female,71,8,55.19,439.42,month-to-month,Fiber,Credit card,1,0,1,0,0
C100296,Female,18,5,15.0,44.86,two years,None,Bank transfer,1,0,3,1,0
C100297,Male,62,6,35.67,213.82,month-to-month,DSL,Bank transfer,1,1,1,1,0
C100298,Male,29,11,54.08,570.13,month-to-month,Fiber,Bank transfer,1,0,1,1,0
C100299,Male,74,6,16.53,25.32,month-to-month,None,Electronic check,0,1,5,1,0
C100300,Male,22,1,34.28,82.17,two years,Fiber,Electronic check,1,1,3,1,1
C100301,Female,84,11,40.85,470.56,one year,Fiber,Credit card,1,0,3,0,1
C100302,Male,29,18,53.65,1038.21,month-to-month,Fiber,Mailed check,0,0,1,1,1
C100303,Female,46,12,15.0,118.15,one year,None,Electronic check,0,0,0,1,0
C100304,Female,33,0,44.92,0.0,one year,Fiber,Electronic check,1,0,2,0,0
C100305,Male,72,30,15.0,403.2,one year,None,Electronic check,1,0,1,0,0
C100306,Male,44,11,56.12,637.25,month-to-month,Fiber,Electronic check,0,1,1,1,0
C100307,Female,67,9,44.41,442.67,one year,Fiber,Mailed check,0,1,2,0,0
C100308,Male,22,6,18.16,123.26,month-to-month,None,Mailed check,1,0,1,1,0
C100309,Male,48,24,56.58,1365.1,month-to-month,Fiber,Mailed check,1,1,2,0,0
C100310,Female,79,17,29.54,544.91,month-to-month,DSL,Electronic check,1,1,3,1,0
C100311,Female,80,5,28.73,120.69,month-to-month,DSL,Electronic check,0,1,1,0,0
C100312,Male,31,2,17.55,87.93,month-to-month,None,Electronic check,1,0,4,1,0
C100313,Male,44,4,51.43,304.96,month-to-month,Fiber,Electronic check,0,0,6,0,1
